SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2012S2,TOTAL,Y040,M,POP,,67477
2012S2,TOTAL,Y040,F,POP,,62350
2012S2,TOTAL,Y040,TOTAL,POP,,129827
2012S2,TOTAL,Y041,M,POP,,65927
2012S2,TOTAL,Y041,F,POP,,60822
2012S2,TOTAL,Y041,TOTAL,POP,,126749
2012S2,TOTAL,Y042,M,POP,,63997
2012S2,TOTAL,Y042,F,POP,,59502
2012S2,TOTAL,Y042,TOTAL,POP,,123499
2012S2,TOTAL,Y043,M,POP,,62354
2012S2,TOTAL,Y043,F,POP,,58294
2012S2,TOTAL,Y043,TOTAL,POP,,120648
2012S2,TOTAL,Y044,M,POP,,61677
2012S2,TOTAL,Y044,F,POP,,58081
2012S2,TOTAL,Y044,TOTAL,POP,,119758
2012S2,TOTAL,Y045,M,POP,,60658
2012S2,TOTAL,Y045,F,POP,,57485
2012S2,TOTAL,Y045,TOTAL,POP,,118143
2012S2,TOTAL,Y046,M,POP,,59229
2012S2,TOTAL,Y046,F,POP,,56526
2012S2,TOTAL,Y046,TOTAL,POP,,115755
2012S2,TOTAL,Y047,M,POP,,58498
2012S2,TOTAL,Y047,F,POP,,56471
2012S2,TOTAL,Y047,TOTAL,POP,,114969
2012S2,TOTAL,Y048,M,POP,,56352
2012S2,TOTAL,Y048,F,POP,,55231
2012S2,TOTAL,Y048,TOTAL,POP,,111583
2012S2,TOTAL,Y049,M,POP,,53558
2012S2,TOTAL,Y049,F,POP,,53006
2012S2,TOTAL,Y049,TOTAL,POP,,106564
2012S2,TOTAL,Y050,M,POP,,51778
2012S2,TOTAL,Y050,F,POP,,51778
2012S2,TOTAL,Y050,TOTAL,POP,,103556
2012S2,TOTAL,Y051,M,POP,,50610
2012S2,TOTAL,Y051,F,POP,,51347
2012S2,TOTAL,Y051,TOTAL,POP,,101957
2012S2,TOTAL,Y052,M,POP,,49981
2012S2,TOTAL,Y052,F,POP,,51009
2012S2,TOTAL,Y052,TOTAL,POP,,100990
2012S2,TOTAL,Y053,M,POP,,49044
2012S2,TOTAL,Y053,F,POP,,50343
2012S2,TOTAL,Y053,TOTAL,POP,,99387
2012S2,TOTAL,Y054,M,POP,,47932
2012S2,TOTAL,Y054,F,POP,,49385
2012S2,TOTAL,Y054,TOTAL,POP,,97317
2012S2,TOTAL,Y055,M,POP,,45661
2012S2,TOTAL,Y055,F,POP,,47315
2012S2,TOTAL,Y055,TOTAL,POP,,92976
2012S2,TOTAL,Y056,M,POP,,43704
2012S2,TOTAL,Y056,F,POP,,45345
2012S2,TOTAL,Y056,TOTAL,POP,,89049
2012S2,TOTAL,Y057,M,POP,,42295
2012S2,TOTAL,Y057,F,POP,,44267
2012S2,TOTAL,Y057,TOTAL,POP,,86562
2012S2,TOTAL,Y058,M,POP,,41388
2012S2,TOTAL,Y058,F,POP,,43525
2012S2,TOTAL,Y058,TOTAL,POP,,84913
2012S2,TOTAL,Y059,M,POP,,41251
2012S2,TOTAL,Y059,F,POP,,43321
2012S2,TOTAL,Y059,TOTAL,POP,,84572
2012S2,TOTAL,Y060,M,POP,,39681
2012S2,TOTAL,Y060,F,POP,,42083
2012S2,TOTAL,Y060,TOTAL,POP,,81764
2012S2,TOTAL,Y061,M,POP,,37602
2012S2,TOTAL,Y061,F,POP,,40351
2012S2,TOTAL,Y061,TOTAL,POP,,77953
2012S2,TOTAL,Y062,M,POP,,37892
2012S2,TOTAL,Y062,F,POP,,40687
2012S2,TOTAL,Y062,TOTAL,POP,,78579
2012S2,TOTAL,Y063,M,POP,,39608
2012S2,TOTAL,Y063,F,POP,,42952
2012S2,TOTAL,Y063,TOTAL,POP,,82560
2012S2,TOTAL,Y064,M,POP,,38651
2012S2,TOTAL,Y064,F,POP,,42169
2012S2,TOTAL,Y064,TOTAL,POP,,80820
2012S2,TOTAL,Y065,M,POP,,35536
2012S2,TOTAL,Y065,F,POP,,38936
2012S2,TOTAL,Y065,TOTAL,POP,,74472
2012S2,TOTAL,Y066,M,POP,,35102
2012S2,TOTAL,Y066,F,POP,,38726
2012S2,TOTAL,Y066,TOTAL,POP,,73828
2012S2,TOTAL,Y067,M,POP,,34593
2012S2,TOTAL,Y067,F,POP,,38540
2012S2,TOTAL,Y067,TOTAL,POP,,73133
2012S2,TOTAL,Y068,M,POP,,32700
2012S2,TOTAL,Y068,F,POP,,36861
2012S2,TOTAL,Y068,TOTAL,POP,,69561
2012S2,TOTAL,Y069,M,POP,,29743
