Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
28245,44,0,28,ABP Alt Empordà - Figueres,febrer,26,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1602,48,28,ABP Alt Empordà - Figueres,febrer,331,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,852,175,28,ABP Alt Empordà - Figueres,febrer,230,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,689,42,28,ABP Alt Empordà - Figueres,febrer,53,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,149,76,28,ABP Alt Empordà - Figueres,febrer,76,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26224,97,20,26,ABP Alt Empordà - Figueres,febrer,59,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,45,1,14,ABP Alt Empordà - Figueres,gener,31,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1590,75,14,ABP Alt Empordà - Figueres,gener,307,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,826,153,14,ABP Alt Empordà - Figueres,gener,194,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,799,47,14,ABP Alt Empordà - Figueres,gener,64,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,158,88,14,ABP Alt Empordà - Figueres,gener,88,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,136,13,14,ABP Alt Empordà - Figueres,gener,71,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24208,61,3,84,ABP Alt Empordà - Figueres,juliol,34,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,2250,64,91,ABP Alt Empordà - Figueres,juliol,314,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,512,106,91,ABP Alt Empordà - Figueres,juliol,136,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,756,43,91,ABP Alt Empordà - Figueres,juliol,67,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,127,65,91,ABP Alt Empordà - Figueres,juliol,66,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,99,6,91,ABP Alt Empordà - Figueres,juliol,44,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,44,0,78,ABP Alt Empordà - Figueres,juny,25,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1699,63,78,ABP Alt Empordà - Figueres,juny,291,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,601,123,78,ABP Alt Empordà - Figueres,juny,183,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,701,43,78,ABP Alt Empordà - Figueres,juny,60,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,121,66,78,ABP Alt Empordà - Figueres,juny,68,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,89,9,78,ABP Alt Empordà - Figueres,juny,52,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,47,0,65,ABP Alt Empordà - Figueres,maig,26,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1688,88,65,ABP Alt Empordà - Figueres,maig,281,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,618,124,65,ABP Alt Empordà - Figueres,maig,201,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,702,52,65,ABP Alt Empordà - Figueres,maig,71,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,151,84,65,ABP Alt Empordà - Figueres,maig,82,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,124,9,65,ABP Alt Empordà - Figueres,maig,67,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26231,62,4,39,ABP Alt Empordà - Figueres,març,38,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,1701,66,42,ABP Alt Empordà - Figueres,març,356,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,838,164,42,ABP Alt Empordà - Figueres,març,217,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,824,50,42,ABP Alt Empordà - Figueres,març,71,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,109,62,42,ABP Alt Empordà - Figueres,març,67,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
