 Visitants estrangers amb destinació principal a Catalunya. Per motiu del viatge, tipus de viatger, via d'accés, país de residència, forma d'organització i mes
Tipus de viatger / Motiu del viatge / temps
Mètriques: Visitants
Destinació principal: Catalunya

Via d'accés:Total
País de residència:Total
forma d'organització viatge:Total
(p);"Dada provisional"
(*);"Estimació amb alta variabilitat"
(u);"Dada amb baixa fiabilitat"
(:);"Dada no disponible"
Font: Idescat, a partir de dades de l'Estadística de moviments turístics en frontera i Enquesta de despesa turística de l'INE.
https://www.idescat.cat/visor/?id=turest&dataset=1&cc=true&cm=factor_ind_factor&cd=t.mes,terr.ccaa,mv.mv,tv.tv&cf=t.mes[202405]&rows=temps_24050&filters=territori_emtf_25077.09&rows=n4_emtf_dim_motiu_princ_viatg_25076&columns=n4_emtf_dim_codi_questionari_25072&filters=concept.factor_ind_factor&tc=true&tm=factor_ind_factor&td=t.mes,terr.ccaa,mv.mv,tv.tv,factor_ind_factor#
"temps";"Destinació principal";"Motiu del viatge";"Tipus de viatger";Mètriques;Valors;estatus;Dada provisional;
"07/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"313,7";"";""
"07/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"700,3";"";""
"06/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"65,1";"";""
"06/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"82";"";""
"06/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"147,1";"";""
"03/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"325,9";"";""
"03/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"120,8";"";""
"03/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"446,7";"";""
"02/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"779,2";"";""
"02/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"287";"";""
"02/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1066,2";"";""
"01/2020";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"678,7";"";""
"01/2020";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"237,1";"";""
"01/2020";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"915,7";"";""
"12/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"801,8";"";""
