id_infant_jove,data_entrada_sistema,any_entrada_sistema,mes_entrada_sistema,Servei_territorial_gestio_cas,data_naixement_infant,sexe_infant,Origen_infant
84242,25/08/2015,2015,08Agost,Barcelona ciutat,11/04/2000,Nois,Altra
84273,27/08/2015,2015,08Agost,Barcelona comarques,22/05/1999,Nois,Marroc
84311,28/08/2015,2015,08Agost,Barcelona comarques,14/10/1999,Nois,Marroc
84312,29/08/2015,2015,08Agost,Barcelona ciutat,31/07/1999,Nois,Marroc
84313,31/08/2015,2015,08Agost,Barcelona comarques,08/12/2000,Nois,Marroc
84378,01/09/2015,2015,09Setembre,Barcelona ciutat,07/12/1997,Nois,Magreb (excloent Marroc)
84401,02/09/2015,2015,09Setembre,Barcelona comarques,01/03/2000,Nois,Marroc
84278,02/09/2015,2015,09Setembre,Barcelona comarques,09/03/1999,Nois,Marroc
84400,02/09/2015,2015,09Setembre,Barcelona ciutat,18/06/1998,Nois,Marroc
84479,05/09/2015,2015,09Setembre,Barcelona comarques,13/12/1998,Nois,Marroc
84478,05/09/2015,2015,09Setembre,Barcelona comarques,15/01/1999,Nois,Marroc
84481,06/09/2015,2015,09Setembre,Barcelona ciutat,31/12/1998,Nois,Magreb (excloent Marroc)
84495,07/09/2015,2015,09Setembre,Barcelona comarques,31/12/1998,Nois,No informada
84551,09/09/2015,2015,09Setembre,Barcelona ciutat,15/12/1997,Nois,Magreb (excloent Marroc)
84550,09/09/2015,2015,09Setembre,Barcelona ciutat,09/09/1998,Nois,Magreb (excloent Marroc)
84567,14/09/2015,2015,09Setembre,Barcelona ciutat,31/12/1999,Nois,Marroc
84592,14/09/2015,2015,09Setembre,Barcelona ciutat,21/08/1999,Nois,Marroc
84619,15/09/2015,2015,09Setembre,Barcelona ciutat,05/12/1998,Nois,Altra
84616,15/09/2015,2015,09Setembre,Barcelona ciutat,14/02/1998,Nois,Altra
84621,15/09/2015,2015,09Setembre,Barcelona ciutat,26/12/1998,Nois,Marroc
84664,16/09/2015,2015,09Setembre,Barcelona ciutat,31/12/1998,Nois,Altra
84734,17/09/2015,2015,09Setembre,Barcelona ciutat,10/01/2000,Nois,Marroc
84719,17/09/2015,2015,09Setembre,Barcelona ciutat,31/12/1998,Nois,Marroc
84748,18/09/2015,2015,09Setembre,Barcelona ciutat,27/01/1999,Nois,Marroc
84750,18/09/2015,2015,09Setembre,Barcelona ciutat,16/03/1996,Nois,Marroc
84751,19/09/2015,2015,09Setembre,Barcelona ciutat,04/01/1999,Nois,Altra
84752,20/09/2015,2015,09Setembre,Barcelona ciutat,09/01/2001,Nois,Marroc
84753,21/09/2015,2015,09Setembre,Barcelona ciutat,22/01/1996,Nois,Marroc
67863,24/09/2015,2015,09Setembre,Barcelona ciutat,10/07/1998,Nois,Marroc
75790,25/09/2015,2015,09Setembre,Tarragona,01/01/2000,Nois,Marroc
84866,28/09/2015,2015,09Setembre,Barcelona ciutat,18/12/2000,Nois,Marroc
84867,28/09/2015,2015,09Setembre,Barcelona ciutat,16/10/1999,Nois,Altra
84891,29/09/2015,2015,09Setembre,Tarragona,14/08/2000,Nois,Marroc
84892,29/09/2015,2015,09Setembre,Tarragona,01/01/2002,Nois,Marroc
85009,03/10/2015,2015,10Octubre,Girona,31/12/1999,Nois,Marroc
85053,05/10/2015,2015,10Octubre,Barcelona comarques,01/11/1999,Nois,Marroc
85028,05/10/2015,2015,10Octubre,Terres de l'Ebre,23/01/1999,Nois,Marroc
85025,05/10/2015,2015,10Octubre,Terres de l'Ebre,23/07/1999,Nois,Marroc
85136,07/10/2015,2015,10Octubre,Barcelona ciutat,05/12/1998,Nois,Altra
