SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2023S2,TOTAL,Y_GE100,M,POP,p,431
2023S2,TOTAL,Y_GE100,F,POP,p,2248
2023S2,TOTAL,Y_GE100,TOTAL,POP,p,2679
2023S2,TOTAL,TOTAL,M,POP,p,3922811
2023S2,TOTAL,TOTAL,F,POP,p,4047622
2023S2,TOTAL,TOTAL,TOTAL,POP,p,7970433
2024S1,TOTAL,Y000,M,POP,p,28003
2024S1,TOTAL,Y000,F,POP,p,26414
2024S1,TOTAL,Y000,TOTAL,POP,p,54417
2024S1,TOTAL,Y001,M,POP,p,30039
2024S1,TOTAL,Y001,F,POP,p,28086
2024S1,TOTAL,Y001,TOTAL,POP,p,58125
2024S1,TOTAL,Y002,M,POP,p,30553
2024S1,TOTAL,Y002,F,POP,p,28918
2024S1,TOTAL,Y002,TOTAL,POP,p,59471
2024S1,TOTAL,Y003,M,POP,p,31214
2024S1,TOTAL,Y003,F,POP,p,30053
2024S1,TOTAL,Y003,TOTAL,POP,p,61267
2024S1,TOTAL,Y004,M,POP,p,32909
2024S1,TOTAL,Y004,F,POP,p,31511
2024S1,TOTAL,Y004,TOTAL,POP,p,64420
2024S1,TOTAL,Y005,M,POP,p,34695
2024S1,TOTAL,Y005,F,POP,p,33295
2024S1,TOTAL,Y005,TOTAL,POP,p,67990
2024S1,TOTAL,Y006,M,POP,p,37245
2024S1,TOTAL,Y006,F,POP,p,35158
2024S1,TOTAL,Y006,TOTAL,POP,p,72403
2024S1,TOTAL,Y007,M,POP,p,38855
2024S1,TOTAL,Y007,F,POP,p,36789
2024S1,TOTAL,Y007,TOTAL,POP,p,75644
2024S1,TOTAL,Y008,M,POP,p,40229
2024S1,TOTAL,Y008,F,POP,p,37771
2024S1,TOTAL,Y008,TOTAL,POP,p,78000
2024S1,TOTAL,Y009,M,POP,p,41138
2024S1,TOTAL,Y009,F,POP,p,38252
2024S1,TOTAL,Y009,TOTAL,POP,p,79390
2024S1,TOTAL,Y010,M,POP,p,40534
2024S1,TOTAL,Y010,F,POP,p,38225
2024S1,TOTAL,Y010,TOTAL,POP,p,78759
2024S1,TOTAL,Y011,M,POP,p,43179
2024S1,TOTAL,Y011,F,POP,p,40352
2024S1,TOTAL,Y011,TOTAL,POP,p,83531
2024S1,TOTAL,Y012,M,POP,p,44102
2024S1,TOTAL,Y012,F,POP,p,41696
2024S1,TOTAL,Y012,TOTAL,POP,p,85798
2024S1,TOTAL,Y013,M,POP,p,45665
2024S1,TOTAL,Y013,F,POP,p,42461
2024S1,TOTAL,Y013,TOTAL,POP,p,88126
2024S1,TOTAL,Y014,M,POP,p,46154
2024S1,TOTAL,Y014,F,POP,p,42626
2024S1,TOTAL,Y014,TOTAL,POP,p,88780
2024S1,TOTAL,Y015,M,POP,p,47620
2024S1,TOTAL,Y015,F,POP,p,44739
2024S1,TOTAL,Y015,TOTAL,POP,p,92359
2024S1,TOTAL,Y016,M,POP,p,46073
2024S1,TOTAL,Y016,F,POP,p,42807
2024S1,TOTAL,Y016,TOTAL,POP,p,88880
2024S1,TOTAL,Y017,M,POP,p,46750
2024S1,TOTAL,Y017,F,POP,p,43054
2024S1,TOTAL,Y017,TOTAL,POP,p,89804
2024S1,TOTAL,Y018,M,POP,p,47431
2024S1,TOTAL,Y018,F,POP,p,43019
2024S1,TOTAL,Y018,TOTAL,POP,p,90450
2024S1,TOTAL,Y019,M,POP,p,47133
2024S1,TOTAL,Y019,F,POP,p,43705
2024S1,TOTAL,Y019,TOTAL,POP,p,90838
2024S1,TOTAL,Y020,M,POP,p,46969
2024S1,TOTAL,Y020,F,POP,p,42956
2024S1,TOTAL,Y020,TOTAL,POP,p,89925
2024S1,TOTAL,Y021,M,POP,p,46279
2024S1,TOTAL,Y021,F,POP,p,42041
2024S1,TOTAL,Y021,TOTAL,POP,p,88320
2024S1,TOTAL,Y022,M,POP,p,46242
2024S1,TOTAL,Y022,F,POP,p,42464
2024S1,TOTAL,Y022,TOTAL,POP,p,88706
2024S1,TOTAL,Y023,M,POP,p,47262
2024S1,TOTAL,Y023,F,POP,p,44070
2024S1,TOTAL,Y023,TOTAL,POP,p,91332
2024S1,TOTAL,Y024,M,POP,p,46690
2024S1,TOTAL,Y024,F,POP,p,43778
2024S1,TOTAL,Y024,TOTAL,POP,p,90468
2024S1,TOTAL,Y025,M,POP,p,46589
2024S1,TOTAL,Y025,F,POP,p,43312
2024S1,TOTAL,Y025,TOTAL,POP,p,89901
2024S1,TOTAL,Y026,M,POP,p,47549
2024S1,TOTAL,Y026,F,POP,p,45206
2024S1,TOTAL,Y026,TOTAL,POP,p,92755
2024S1,TOTAL,Y027,M,POP,p,47717
2024S1,TOTAL,Y027,F,POP,p,45006
2024S1,TOTAL,Y027,TOTAL,POP,p,92723
2024S1,TOTAL,Y028,M,POP,p,48163
2024S1,TOTAL,Y028,F,POP,p,46049
2024S1,TOTAL,Y028,TOTAL,POP,p,94212
2024S1,TOTAL,Y029,M,POP,p,49180
2024S1,TOTAL,Y029,F,POP,p,47418
2024S1,TOTAL,Y029,TOTAL,POP,p,96598
2024S1,TOTAL,Y030,M,POP,p,49898
2024S1,TOTAL,Y030,F,POP,p,48061
2024S1,TOTAL,Y030,TOTAL,POP,p,97959
2024S1,TOTAL,Y031,M,POP,p,51282
2024S1,TOTAL,Y031,F,POP,p,49353
2024S1,TOTAL,Y031,TOTAL,POP,p,100635
2024S1,TOTAL,Y032,M,POP,p,50479
2024S1,TOTAL,Y032,F,POP,p,48665
2024S1,TOTAL,Y032,TOTAL,POP,p,99144
2024S1,TOTAL,Y033,M,POP,p,50937
2024S1,TOTAL,Y033,F,POP,p,49462
2024S1,TOTAL,Y033,TOTAL,POP,p,100399
2024S1,TOTAL,Y034,M,POP,p,50781
2024S1,TOTAL,Y034,F,POP,p,49787
2024S1,TOTAL,Y034,TOTAL,POP,p,100568
2024S1,TOTAL,Y035,M,POP,p,51144
2024S1,TOTAL,Y035,F,POP,p,50662
2024S1,TOTAL,Y035,TOTAL,POP,p,101806
2024S1,TOTAL,Y036,M,POP,p,51446
2024S1,TOTAL,Y036,F,POP,p,50451
2024S1,TOTAL,Y036,TOTAL,POP,p,101897
2024S1,TOTAL,Y037,M,POP,p,51095
2024S1,TOTAL,Y037,F,POP,p,51603
2024S1,TOTAL,Y037,TOTAL,POP,p,102698
2024S1,TOTAL,Y038,M,POP,p,53086
2024S1,TOTAL,Y038,F,POP,p,52861
2024S1,TOTAL,Y038,TOTAL,POP,p,105947
2024S1,TOTAL,Y039,M,POP,p,53915
2024S1,TOTAL,Y039,F,POP,p,53858
2024S1,TOTAL,Y039,TOTAL,POP,p,107773
2024S1,TOTAL,Y040,M,POP,p,55175
2024S1,TOTAL,Y040,F,POP,p,55293
2024S1,TOTAL,Y040,TOTAL,POP,p,110468
2024S1,TOTAL,Y041,M,POP,p,58476
2024S1,TOTAL,Y041,F,POP,p,57820
2024S1,TOTAL,Y041,TOTAL,POP,p,116296
2024S1,TOTAL,Y042,M,POP,p,60835
2024S1,TOTAL,Y042,F,POP,p,59557
2024S1,TOTAL,Y042,TOTAL,POP,p,120392
2024S1,TOTAL,Y043,M,POP,p,63433
2024S1,TOTAL,Y043,F,POP,p,62667
2024S1,TOTAL,Y043,TOTAL,POP,p,126100
2024S1,TOTAL,Y044,M,POP,p,65502
2024S1,TOTAL,Y044,F,POP,p,63899
2024S1,TOTAL,Y044,TOTAL,POP,p,129401
2024S1,TOTAL,Y045,M,POP,p,68858
2024S1,TOTAL,Y045,F,POP,p,66570
2024S1,TOTAL,Y045,TOTAL,POP,p,135428
2024S1,TOTAL,Y046,M,POP,p,69750
2024S1,TOTAL,Y046,F,POP,p,67338
2024S1,TOTAL,Y046,TOTAL,POP,p,137088
2024S1,TOTAL,Y047,M,POP,p,70476
2024S1,TOTAL,Y047,F,POP,p,67992
2024S1,TOTAL,Y047,TOTAL,POP,p,138468
2024S1,TOTAL,Y048,M,POP,p,70539
2024S1,TOTAL,Y048,F,POP,p,67894
2024S1,TOTAL,Y048,TOTAL,POP,p,138433
2024S1,TOTAL,Y049,M,POP,p,69546
2024S1,TOTAL,Y049,F,POP,p,66763
2024S1,TOTAL,Y049,TOTAL,POP,p,136309
2024S1,TOTAL,Y050,M,POP,p,66653
2024S1,TOTAL,Y050,F,POP,p,64717
2024S1,TOTAL,Y050,TOTAL,POP,p,131370
2024S1,TOTAL,Y051,M,POP,p,65521
2024S1,TOTAL,Y051,F,POP,p,63623
2024S1,TOTAL,Y051,TOTAL,POP,p,129144
2024S1,TOTAL,Y052,M,POP,p,63401
2024S1,TOTAL,Y052,F,POP,p,61603
2024S1,TOTAL,Y052,TOTAL,POP,p,125004
2024S1,TOTAL,Y053,M,POP,p,61904
2024S1,TOTAL,Y053,F,POP,p,60614
