SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
1981S2,TOTAL,Y014,F,POP,,47757
1981S2,TOTAL,Y014,TOTAL,POP,,98216
1981S2,TOTAL,Y015,M,POP,,49884
1981S2,TOTAL,Y015,F,POP,,47447
1981S2,TOTAL,Y015,TOTAL,POP,,97331
1981S2,TOTAL,Y016,M,POP,,50106
1981S2,TOTAL,Y016,F,POP,,48008
1981S2,TOTAL,Y016,TOTAL,POP,,98114
1981S2,TOTAL,Y017,M,POP,,48919
1981S2,TOTAL,Y017,F,POP,,47186
1981S2,TOTAL,Y017,TOTAL,POP,,96105
1981S2,TOTAL,Y018,M,POP,,47264
1981S2,TOTAL,Y018,F,POP,,45615
1981S2,TOTAL,Y018,TOTAL,POP,,92879
1981S2,TOTAL,Y019,M,POP,,46741
1981S2,TOTAL,Y019,F,POP,,45265
1981S2,TOTAL,Y019,TOTAL,POP,,92006
1981S2,TOTAL,Y020,M,POP,,45811
1981S2,TOTAL,Y020,F,POP,,45085
1981S2,TOTAL,Y020,TOTAL,POP,,90896
1981S2,TOTAL,Y021,M,POP,,45616
1981S2,TOTAL,Y021,F,POP,,45328
1981S2,TOTAL,Y021,TOTAL,POP,,90944
1981S2,TOTAL,Y022,M,POP,,45514
1981S2,TOTAL,Y022,F,POP,,45479
1981S2,TOTAL,Y022,TOTAL,POP,,90993
1981S2,TOTAL,Y023,M,POP,,45148
1981S2,TOTAL,Y023,F,POP,,45488
1981S2,TOTAL,Y023,TOTAL,POP,,90636
1981S2,TOTAL,Y024,M,POP,,44079
1981S2,TOTAL,Y024,F,POP,,44185
1981S2,TOTAL,Y024,TOTAL,POP,,88264
1981S2,TOTAL,Y025,M,POP,,42922
1981S2,TOTAL,Y025,F,POP,,42856
1981S2,TOTAL,Y025,TOTAL,POP,,85778
1981S2,TOTAL,Y026,M,POP,,42272
1981S2,TOTAL,Y026,F,POP,,42508
1981S2,TOTAL,Y026,TOTAL,POP,,84780
1981S2,TOTAL,Y027,M,POP,,42186
1981S2,TOTAL,Y027,F,POP,,42190
1981S2,TOTAL,Y027,TOTAL,POP,,84376
1981S2,TOTAL,Y028,M,POP,,42603
1981S2,TOTAL,Y028,F,POP,,42597
1981S2,TOTAL,Y028,TOTAL,POP,,85200
1981S2,TOTAL,Y029,M,POP,,42088
1981S2,TOTAL,Y029,F,POP,,41942
1981S2,TOTAL,Y029,TOTAL,POP,,84030
1981S2,TOTAL,Y030,M,POP,,40779
1981S2,TOTAL,Y030,F,POP,,40795
1981S2,TOTAL,Y030,TOTAL,POP,,81574
1981S2,TOTAL,Y031,M,POP,,41504
1981S2,TOTAL,Y031,F,POP,,41347
1981S2,TOTAL,Y031,TOTAL,POP,,82851
1981S2,TOTAL,Y032,M,POP,,44296
1981S2,TOTAL,Y032,F,POP,,43891
1981S2,TOTAL,Y032,TOTAL,POP,,88187
1981S2,TOTAL,Y033,M,POP,,44065
1981S2,TOTAL,Y033,F,POP,,43790
1981S2,TOTAL,Y033,TOTAL,POP,,87855
1981S2,TOTAL,Y034,M,POP,,41207
1981S2,TOTAL,Y034,F,POP,,40599
1981S2,TOTAL,Y034,TOTAL,POP,,81806
1981S2,TOTAL,Y035,M,POP,,41426
1981S2,TOTAL,Y035,F,POP,,40734
1981S2,TOTAL,Y035,TOTAL,POP,,82160
1981S2,TOTAL,Y036,M,POP,,41498
1981S2,TOTAL,Y036,F,POP,,41133
1981S2,TOTAL,Y036,TOTAL,POP,,82631
1981S2,TOTAL,Y037,M,POP,,39903
1981S2,TOTAL,Y037,F,POP,,39598
1981S2,TOTAL,Y037,TOTAL,POP,,79501
1981S2,TOTAL,Y038,M,POP,,37111
1981S2,TOTAL,Y038,F,POP,,36169
1981S2,TOTAL,Y038,TOTAL,POP,,73280
1981S2,TOTAL,Y039,M,POP,,33391
1981S2,TOTAL,Y039,F,POP,,32279
1981S2,TOTAL,Y039,TOTAL,POP,,65670
1981S2,TOTAL,Y040,M,POP,,37181
1981S2,TOTAL,Y040,F,POP,,35757
1981S2,TOTAL,Y040,TOTAL,POP,,72938
1981S2,TOTAL,Y041,M,POP,,32975
1981S2,TOTAL,Y041,F,POP,,31805
1981S2,TOTAL,Y041,TOTAL,POP,,64780
1981S2,TOTAL,Y042,M,POP,,26621
1981S2,TOTAL,Y042,F,POP,,26252
1981S2,TOTAL,Y042,TOTAL,POP,,52873
1981S2,TOTAL,Y043,M,POP,,32851
1981S2,TOTAL,Y043,F,POP,,32134
1981S2,TOTAL,Y043,TOTAL,POP,,64985
1981S2,TOTAL,Y044,M,POP,,37410
1981S2,TOTAL,Y044,F,POP,,37464
1981S2,TOTAL,Y044,TOTAL,POP,,74874
1981S2,TOTAL,Y045,M,POP,,37877
1981S2,TOTAL,Y045,F,POP,,38405
1981S2,TOTAL,Y045,TOTAL,POP,,76282
1981S2,TOTAL,Y046,M,POP,,36871
1981S2,TOTAL,Y046,F,POP,,36976
1981S2,TOTAL,Y046,TOTAL,POP,,73847
1981S2,TOTAL,Y047,M,POP,,37492
1981S2,TOTAL,Y047,F,POP,,38038
1981S2,TOTAL,Y047,TOTAL,POP,,75530
1981S2,TOTAL,Y048,M,POP,,37974
1981S2,TOTAL,Y048,F,POP,,39143
1981S2,TOTAL,Y048,TOTAL,POP,,77117
1981S2,TOTAL,Y049,M,POP,,37382
1981S2,TOTAL,Y049,F,POP,,38380
1981S2,TOTAL,Y049,TOTAL,POP,,75762
1981S2,TOTAL,Y050,M,POP,,37024
1981S2,TOTAL,Y050,F,POP,,38534
1981S2,TOTAL,Y050,TOTAL,POP,,75558
1981S2,TOTAL,Y051,M,POP,,36328
1981S2,TOTAL,Y051,F,POP,,37854
1981S2,TOTAL,Y051,TOTAL,POP,,74182
1981S2,TOTAL,Y052,M,POP,,35420
1981S2,TOTAL,Y052,F,POP,,36950
1981S2,TOTAL,Y052,TOTAL,POP,,72370
1981S2,TOTAL,Y053,M,POP,,34556
1981S2,TOTAL,Y053,F,POP,,36546
1981S2,TOTAL,Y053,TOTAL,POP,,71102
1981S2,TOTAL,Y054,M,POP,,34320
1981S2,TOTAL,Y054,F,POP,,36081
1981S2,TOTAL,Y054,TOTAL,POP,,70401
1981S2,TOTAL,Y055,M,POP,,34069
1981S2,TOTAL,Y055,F,POP,,36278
1981S2,TOTAL,Y055,TOTAL,POP,,70347
1981S2,TOTAL,Y056,M,POP,,33207
1981S2,TOTAL,Y056,F,POP,,35435
1981S2,TOTAL,Y056,TOTAL,POP,,68642
1981S2,TOTAL,Y057,M,POP,,32230
1981S2,TOTAL,Y057,F,POP,,34233
1981S2,TOTAL,Y057,TOTAL,POP,,66463
1981S2,TOTAL,Y058,M,POP,,31344
1981S2,TOTAL,Y058,F,POP,,33824
1981S2,TOTAL,Y058,TOTAL,POP,,65168
1981S2,TOTAL,Y059,M,POP,,30759
1981S2,TOTAL,Y059,F,POP,,32817
1981S2,TOTAL,Y059,TOTAL,POP,,63576
1981S2,TOTAL,Y060,M,POP,,28185
1981S2,TOTAL,Y060,F,POP,,31931
1981S2,TOTAL,Y060,TOTAL,POP,,60116
1981S2,TOTAL,Y061,M,POP,,24496
1981S2,TOTAL,Y061,F,POP,,29693
1981S2,TOTAL,Y061,TOTAL,POP,,54189
1981S2,TOTAL,Y062,M,POP,,22647
1981S2,TOTAL,Y062,F,POP,,27718
1981S2,TOTAL,Y062,TOTAL,POP,,50365
1981S2,TOTAL,Y063,M,POP,,21624
1981S2,TOTAL,Y063,F,POP,,26916
1981S2,TOTAL,Y063,TOTAL,POP,,48540
1981S2,TOTAL,Y064,M,POP,,20718
1981S2,TOTAL,Y064,F,POP,,25943
1981S2,TOTAL,Y064,TOTAL,POP,,46661
1981S2,TOTAL,Y065,M,POP,,20292
1981S2,TOTAL,Y065,F,POP,,25838
1981S2,TOTAL,Y065,TOTAL,POP,,46130
1981S2,TOTAL,Y066,M,POP,,20123
1981S2,TOTAL,Y066,F,POP,,26072
1981S2,TOTAL,Y066,TOTAL,POP,,46195
1981S2,TOTAL,Y067,M,POP,,19722
1981S2,TOTAL,Y067,F,POP,,25804
1981S2,TOTAL,Y067,TOTAL,POP,,45526
1981S2,TOTAL,Y068,M,POP,,19136
1981S2,TOTAL,Y068,F,POP,,25023
1981S2,TOTAL,Y068,TOTAL,POP,,44159
1981S2,TOTAL,Y069,M,POP,,18218
1981S2,TOTAL,Y069,F,POP,,24397
